Source,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,,Station Code,HOME ORIGIN STATIONS
16,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,0,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,OR,Orinda
24,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,0,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,WP,Pittsburg / Bay Point
GP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,0,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,PH,Pleasant Hill
BP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,0,BP_DC,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,PL,Powell St.
DC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,0,CM_DC,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,RM,Richmond
CM,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,0,BF_CV,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,RR,Rockridge
CV,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,CF_BF,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,0,CV_ED,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,SB,San Bruno
ED,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,CF_BF,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,LM_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CV_ED,0,CN_NC,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,SL,San Leandro
NC,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_NC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,0,NC_WP,CM_SS,SB_SS,SB_SO,MB_SB,,SH,South Hayward
WP,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,MA_RR,19_MA,12_19,12_LM,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_NC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,12_OW,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,BF_CV,CV_ED,NC_WP,0,CM_SS,SB_SS,SB_SO,MB_SB,,SS,South San Francisco
SS,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,0,SB_SS,SB_SO,MB_SB,,UC,Union City
SB,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,0,SB_SO,MB_SB,,WC,Walnut Creek
SO,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,SB_SO,0,MB_SB,,OW,West Oakland
MB,EN_RM,EN_EP,EP_NB,BK_NB,AS_BK,AS_MA,19_MA,12_19,12_OW,LM_OW,FV_LM,CL_FV,CL_SL,BF_SL,BF_HY,HY_SH,SH_UC,FM_UC,CN_PH,PH_WC,LF_WC,LF_OR,OR_RR,MA_RR,EM_OW,EM_MT,MT_PL,CC_PL,16_CC,16_24,24_GP,BP_GP,BP_DC,CM_DC,CM_SS,BF_CV,CV_ED,CN_NC,NC_WP,SB_SS,MB_SB,MB_SO,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
