Stations,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
UC,15.95454545,38.63636364,12.90909091,16.86363636,152,36.27272727,85.95454545,186.2727273,232.3636364,120.4090909,89.59090909,164.5909091,78.86363636,133.9545455,173.6818182,71.45454545,19.86363636,191.6363636,15.5,15.31818182,16.86363636,5.090909091,3.818181818,11.18181818,16.36363636,955.1363636,696.7272727,321.6818182,241.3636364,67.81818182,27.31818182,13.72727273,28.54545455,48.5,8.454545455,21.45454545,61.31818182,7.181818182,21.27272727,7.363636364,7.363636364,22.95454545,4.636363636,32.36363636
FM,31.86363636,91.72727273,48.18181818,32.27272727,327.1818182,66.90909091,155.6818182,358.7272727,364.6818182,179.9545455,159.5454545,328.4545455,127.1363636,241.0454545,327.0909091,180.2727273,195.7727273,40.13636364,36.95454545,36.5,29.09090909,13.09090909,13.22727273,34.90909091,22,1906.136364,1331.454545,561.4545455,362.5,102.5454545,45.68181818,28.27272727,36.22727273,79.45454545,8,34.5,102.6818182,10.81818182,38.95454545,6.909090909,8.681818182,58.04545455,7.318181818,39.72727273
CN,30.68181818,40.31818182,24.59090909,18.22727273,148.3636364,29.45454545,141,273.9545455,291.3636364,40.04545455,55.59090909,114.1363636,42.31818182,30.5,32.54545455,17.81818182,14.86363636,36,16.22727273,108.5454545,359.9545455,130.0909091,42.77272727,84.81818182,21.59090909,1047.454545,900.1363636,440.6363636,385.9090909,89.72727273,74.5,36.40909091,53.13636364,82.31818182,28.5,7.454545455,13.77272727,60.09090909,366.0454545,23.63636364,31.59090909,116.8636364,25.5,7.090909091
PH,15.90909091,22.13636364,14.18181818,17.90909091,159.7727273,22.54545455,127.7272727,325.2272727,309,32.40909091,35.81818182,103.7272727,21.77272727,13.63636364,23.63636364,11.77272727,14.68181818,36.18181818,115.4545455,19.54545455,140.9545455,58.77272727,31.31818182,107.2272727,15,1912.5,1420.681818,502,411.7727273,95.5,60.31818182,45.36363636,44.54545455,77,17.13636364,3.454545455,8.545454545,42.63636364,137.6818182,18.95454545,28.13636364,171.0909091,20.95454545,5.909090909
WC,22.77272727,43.40909091,31.13636364,31.54545455,151.4545455,33.68181818,143.1363636,265.0454545,264,35.86363636,52.04545455,120.2272727,27.27272727,21.22727273,21.90909091,11.86363636,17.54545455,30.90909091,321.4090909,131.7727273,19,68.86363636,44.77272727,170.3181818,18.31818182,1652.818182,1111.954545,502.6818182,326.7727273,79.59090909,63.04545455,52.86363636,40.40909091,68.36363636,24.31818182,8.272727273,10.13636364,70.31818182,264.2272727,23.22727273,21.36363636,180.6818182,32.81818182,5.454545455
LF,15.13636364,12.90909091,12.36363636,14.54545455,95.86363636,10.95454545,55.63636364,147.8636364,159.4545455,13.5,22.40909091,62.22727273,11.40909091,5.772727273,9.272727273,1.272727273,5.363636364,12.31818182,112.4545455,45.13636364,64.90909091,11.77272727,19.72727273,83.81818182,4.454545455,1083.818182,753.2272727,263.3181818,203.0909091,48.22727273,35.86363636,15.63636364,15.36363636,25.22727273,5.636363636,2.181818182,3.409090909,13.77272727,44.31818182,5.136363636,9.181818182,94.04545455,11.86363636,1.227272727
OR,12.59090909,12.77272727,8.5,11.40909091,64.54545455,10.36363636,43.86363636,98.36363636,108.4090909,11.86363636,31.13636364,39,7.5,7.090909091,5.454545455,3.318181818,4,13.72727273,39.63636364,26.77272727,44.90909091,16.81818182,12.86363636,66.72727273,5.545454545,849.0909091,633.1818182,190.3636364,172.6363636,36.68181818,26.5,19.36363636,14.95454545,21.72727273,6.227272727,1.090909091,2.318181818,6.636363636,24.40909091,5.909090909,6.363636364,82.54545455,8.818181818,2.227272727
RR,17.5,33.31818182,37.45454545,21.72727273,62.31818182,16.36363636,70.45454545,160,178.0454545,35.45454545,52.18181818,77.81818182,23.13636364,14.27272727,14.04545455,11.13636364,11.31818182,35.31818182,89.13636364,105.5,180.0909091,86.72727273,66.81818182,17.95454545,31,1315.181818,1110,516.6363636,493.7727273,201.2272727,121.3181818,59.40909091,40.59090909,44.40909091,7.454545455,7.636363636,14.27272727,28.81818182,56.54545455,8,12.77272727,164.1818182,23.27272727,6.454545455
OW,26.90909091,46.04545455,18.40909091,17.90909091,109,41.63636364,72.63636364,76.22727273,106.0454545,54.5,127.7727273,112.0454545,39.45454545,52.36363636,34.40909091,17.45454545,16.81818182,23.86363636,22.27272727,14.04545455,20.86363636,5,5.590909091,32.86363636,14.86363636,1738.045455,1276.727273,849.3181818,647.0454545,261.2272727,184.7727273,55.04545455,85.18181818,64.59090909,16.86363636,8.636363636,23.18181818,7.454545455,39.63636364,11.63636364,28.04545455,90.27272727,27.40909091,12.04545455
EM,313.8181818,929.7272727,569.7727273,771.1363636,1243.045455,686.7272727,1079.227273,1054.045455,1129.863636,788.5454545,860.6818182,684.2727273,698.2727273,627.2272727,464.9545455,400,851.5909091,1706.090909,875.9545455,1567,1403.545455,976.1363636,789.3636364,1249.863636,1509.454545,161.3181818,128.1363636,758.9090909,489.3636364,1108.227273,1437.045455,1117.954545,1341.772727,1231,776.7727273,526.7272727,1747.318182,500.0454545,671.9545455,604.5454545,560.5909091,652.8636364,1034.181818,788.6818182
